State,Date,Total cases
Andaman and Nicobar,289,5000
Maharashtra,289,2041398
Odisha,289,335548
Karnataka,289,942031
Jammu and Kashmir,289,124850
Jharkhand,289,118979
Madhya Pradesh,289,256214
Tripura,289,33352
Uttar Pradesh,289,601272
Goa,289,53838
Assam,289,217202
Gujarat,289,263200
Uttarakhand,289,96478
Himachal Pradesh,289,57851
Mizoram,289,4382
Chandigarh,289,21088
Punjab,289,174439
Dadra and Nagar Haveli,289,3398
Nagaland,290,12158
Chhattisgarh,290,307525
Assam,290,217210
Meghalaya,290,13885
Uttarakhand,290,96493
Andhra Pradesh,290,888423
Mizoram,290,4383
Tripura,290,33352
Andaman and Nicobar,290,5001
Gujarat,290,263444
Maharashtra,290,2044071
Daman and Diu,290,3398
Dadra and Nagar Haveli,290,3398
Odisha,290,335620
Lakshadweep,290,153
West Bengal,290,571371
Punjab,290,174646
Goa,290,53880
Madhya Pradesh,290,256398
Jammu and Kashmir,290,124909
Chandigarh,290,21107
Tamil Nadu,290,841797
Bihar,290,260270
Manipur,290,29126
Telangana,290,295682
Kerala,290,968438
Haryana,290,268431
Jharkhand,290,119017
Arunachal Pradesh,290,16830
Rajasthan,290,318193
Himachal Pradesh,290,57896
NCT of Delhi,290,636035
Uttar Pradesh,290,601385
Karnataka,290,942518
Sikkim,290,6110
Puducherry,290,39292
Haryana,291,268507
Puducherry,291,39318
Daman and Diu,291,3398
Mizoram,291,4386
Himachal Pradesh,291,57925
Bihar,291,260670
Odisha,291,335692
Jammu and Kashmir,291,124952
Lakshadweep,291,154
Manipur,291,29130
Rajasthan,291,318294
Uttarakhand,291,96536
Telangana,291,295831
Uttar Pradesh,291,601455
Chandigarh,291,21133
Madhya Pradesh,291,256591
Assam,291,217229
Tamil Nadu,291,842261
Jharkhand,291,119055
Andaman and Nicobar,291,5005
Sikkim,291,6110
NCT of Delhi,291,636160
Karnataka,291,942846
Goa,291,53937
Chhattisgarh,291,307790
Dadra and Nagar Haveli,291,3398
Kerala,291,972180
Arunachal Pradesh,291,16831
Nagaland,291,12160
Andhra Pradesh,291,888485
West Bengal,291,571490
Tripura,291,33353
Gujarat,291,263676
Meghalaya,291,13886
Maharashtra,291,2046287
Punjab,291,174838
Andhra Pradesh,292,888555
Karnataka,292,943212
Assam,292,217256
Daman and Diu,292,3398
Mizoram,292,4388
Punjab,292,175023
Madhya Pradesh,292,256758
Dadra and Nagar Haveli,292,3398
Puducherry,292,39353
West Bengal,292,571636
Odisha,292,335797
Arunachal Pradesh,292,16831
Sikkim,292,6110
Nagaland,292,12166
Kerala,292,977394
Chhattisgarh,292,307996
NCT of Delhi,292,636260
Tripura,292,33353
Meghalaya,292,13893
Maharashtra,292,2048802
Tamil Nadu,292,842730
Jharkhand,292,119116
Haryana,292,268600
Chandigarh,292,21154
Lakshadweep,292,166
Andaman and Nicobar,292,5007
Goa,292,53996
Telangana,292,295988
Manipur,292,29137
Bihar,292,261092
Jammu and Kashmir,292,125007
Uttar Pradesh,292,601562
Himachal Pradesh,292,57993
Uttarakhand,292,96590
Gujarat,292,263910
Rajasthan,292,318384
Kerala,293,983374
Dadra and Nagar Haveli,293,3398
Arunachal Pradesh,293,16831
Punjab,293,175252
NCT of Delhi,293,636387
Assam,293,217267
Chhattisgarh,293,308218
Rajasthan,293,318491
Chandigarh,293,21171
Sikkim,293,6111
Madhya Pradesh,293,256899
Goa,293,54068
Uttar Pradesh,293,601723
Karnataka,293,943627
Telangana,293,296134
Andhra Pradesh,293,888605
Andaman and Nicobar,293,5007
Uttarakhand,293,96625
Meghalaya,293,13924
Bihar,293,261511
Jammu and Kashmir,293,125052
Himachal Pradesh,293,58076
Mizoram,293,4390
Odisha,293,335889
Puducherry,293,39372
Haryana,293,268677
Lakshadweep,293,181
Manipur,293,29148
Jharkhand,293,119161
Maharashtra,293,2052253
Gujarat,293,264165
Tripura,293,33353
Nagaland,293,12168
Tamil Nadu,293,843209
West Bengal,293,571815
Daman and Diu,293,3398
Tamil Nadu,294,843690
Andaman and Nicobar,294,5007
Manipur,294,29155
Gujarat,294,264450
Goa,294,54113
Bihar,294,261568
Uttar Pradesh,294,601898
Dadra and Nagar Haveli,294,3398
Himachal Pradesh,294,58112
Andhra Pradesh,294,888692
NCT of Delhi,294,636529
Haryana,294,268783
Arunachal Pradesh,294,16832
Punjab,294,175558
Meghalaya,294,13931
Nagaland,294,12175
Maharashtra,294,2052905
Tripura,294,33353
Puducherry,294,39397
Kerala,294,988655
Madhya Pradesh,294,257068
Karnataka,294,944057
Telangana,294,296277
Chandigarh,294,21184
Mizoram,294,4391
Uttarakhand,294,96673
Lakshadweep,294,187
Rajasthan,294,318602
Daman and Diu,294,3398
Jharkhand,294,119206
Sikkim,294,6113
West Bengal,294,572032
Chhattisgarh,294,308472
Assam,294,217277
Odisha,294,335984
Jammu and Kashmir,294,125117
Uttarakhand,295,96722
Haryana,295,268887
Andaman and Nicobar,295,5007
Maharashtra,295,2056575
Jharkhand,295,119242
Goa,295,54152
Karnataka,295,944437
NCT of Delhi,295,636670
Mizoram,295,4392
Himachal Pradesh,295,58142
Kerala,295,994052
Rajasthan,295,318710
Madhya Pradesh,295,257229
Nagaland,295,12176
Puducherry,295,39416
Punjab,295,175804
West Bengal,295,572220
Dadra and Nagar Haveli,295,3398
Tripura,295,33353
Tamil Nadu,295,844173
Jammu and Kashmir,295,125208
Daman and Diu,295,3398
Manipur,295,29166
Telangana,295,296428
Arunachal Pradesh,295,16832
Uttar Pradesh,295,602001
Andhra Pradesh,295,888760
Gujarat,295,264718
Odisha,295,336042
Sikkim,295,6116
Chhattisgarh,295,308701
Lakshadweep,295,188
Assam,295,217285
Bihar,295,261646
Meghalaya,295,13932
Chandigarh,295,21203
Odisha,296,336101
Kerala,296,999523
Maharashtra,296,2060186
Himachal Pradesh,296,58201
Mizoram,296,4392
Madhya Pradesh,296,257423
Puducherry,296,39440
Andhra Pradesh,296,888814
Punjab,296,176064
Karnataka,296,944856
Tamil Nadu,296,844650
Assam,296,217288
Arunachal Pradesh,296,16832
Manipur,296,29183
Uttar Pradesh,296,602089
Rajasthan,296,318820
NCT of Delhi,296,636796
Telangana,296,296574
Goa,296,54193
Jharkhand,296,119283
Meghalaya,296,13937
Tripura,296,33353
Sikkim,296,6116
Andaman and Nicobar,296,5009
Chhattisgarh,296,308930
Dadra and Nagar Haveli,296,3400
Lakshadweep,296,224
Haryana,296,268969
Nagaland,296,12183
Daman and Diu,296,3400
Chandigarh,296,21220
Gujarat,296,264997
West Bengal,296,572405
Jammu and Kashmir,296,125268
Uttarakhand,296,96766
Bihar,296,261690
West Bengal,297,572595
Assam,297,217293
Puducherry,297,39448
Mizoram,297,4392
Kerala,297,1004135
Daman and Diu,297,3400
Haryana,297,269046
Tripura,297,33353
NCT of Delhi,297,636946
Rajasthan,297,318923
Chhattisgarh,297,309099
Uttar Pradesh,297,602190
Odisha,297,336174
Andhra Pradesh,297,888869
Tamil Nadu,297,845120
Nagaland,297,12189
Maharashtra,297,2064278
Sikkim,297,6118
Andaman and Nicobar,297,5009
Uttarakhand,297,96820
Jammu and Kashmir,297,125341
Himachal Pradesh,297,58222
Goa,297,54235
Madhya Pradesh,297,257646
Manipur,297,29196
Gujarat,297,265244
Telangana,297,296673
Meghalaya,297,13942
Punjab,297,176296
Chandigarh,297,21238
Lakshadweep,297,233
Karnataka,297,945270
Jharkhand,297,119316
Bihar,297,261741
Arunachal Pradesh,297,16832
Dadra and Nagar Haveli,297,3400
Chandigarh,298,21264
Daman and Diu,298,3400
Karnataka,298,945638
Andaman and Nicobar,298,5009
Goa,298,54275
Tripura,298,33353
NCT of Delhi,298,637087
Gujarat,298,265493
Assam,298,217304
Arunachal Pradesh,298,16833
Rajasthan,298,319005
Telangana,298,296802
Bihar,298,261785
Uttar Pradesh,298,602248
Sikkim,298,6118
Chhattisgarh,298,309373
Odisha,298,336262
West Bengal,298,572728
Meghalaya,298,13942
Manipur,298,29204
Tamil Nadu,298,845575
Haryana,298,269154
Dadra and Nagar Haveli,298,3400
Puducherry,298,39468
Uttarakhand,298,96867
Mizoram,298,4395
Madhya Pradesh,298,257849
Maharashtra,298,2067643
Punjab,298,176520
Himachal Pradesh,298,58243
Kerala,298,1007019
Jammu and Kashmir,298,125405
Andhra Pradesh,298,888899
Nagaland,298,12189
Jharkhand,298,119354
Lakshadweep,298,234
Punjab,299,176767
Karnataka,299,946076
Odisha,299,336322
Telangana,299,296950
Goa,299,54323
Dadra and Nagar Haveli,299,3400
Haryana,299,269240
Mizoram,299,4396
Uttar Pradesh,299,602344
Chandigarh,299,21293
Tamil Nadu,299,846026
Puducherry,299,39488
West Bengal,299,572879
Manipur,299,29213
Gujarat,299,265756
Madhya Pradesh,299,258082
Andaman and Nicobar,299,5013
Daman and Diu,299,3400
Meghalaya,299,13944
Bihar,299,261841
Andhra Pradesh,299,888959
Chhattisgarh,299,309623
Uttarakhand,299,96920
Jharkhand,299,119394
Tripura,299,33355
Nagaland,299,12190
Kerala,299,1011956
Arunachal Pradesh,299,16833
Himachal Pradesh,299,58262
Maharashtra,299,2071306
Jammu and Kashmir,299,125463
Assam,299,217309
Lakshadweep,299,251
Rajasthan,299,319065
NCT of Delhi,299,637181
Sikkim,299,6121
Jammu and Kashmir,300,125547
Assam,300,217330
Nagaland,300,12190
Andaman and Nicobar,300,5014
West Bengal,300,573012
Madhya Pradesh,300,258333
Puducherry,300,39506
Chhattisgarh,300,309934
Himachal Pradesh,300,58296
Kerala,300,1016848
Haryana,300,269322
Manipur,300,29223
Rajasthan,300,319166
Meghalaya,300,13945
Uttarakhand,300,96964
Gujarat,300,266034
NCT of Delhi,300,637315
Arunachal Pradesh,300,16833
Tamil Nadu,300,846480
Daman and Diu,300,3402
Jharkhand,300,119439
Tripura,300,33357
Andhra Pradesh,300,889010
Odisha,300,336397
Lakshadweep,300,261
Bihar,300,261879
Maharashtra,300,2076093
Mizoram,300,4399
Goa,300,54369
Chandigarh,300,21322
Karnataka,300,946454
Sikkim,300,6121
Uttar Pradesh,300,602410
Punjab,300,177101
Dadra and Nagar Haveli,300,3402
Telangana,300,297113
Meghalaya,301,13946
Haryana,301,269405
Assam,301,217344
Kerala,301,1021432
Tamil Nadu,301,846937
Jharkhand,301,119477
Uttarakhand,301,97005
Lakshadweep,301,263
Punjab,301,177376
West Bengal,301,573193
Jammu and Kashmir,301,125634
Puducherry,301,39526
Dadra and Nagar Haveli,301,3402
Uttar Pradesh,301,602490
Odisha,301,336460
Maharashtra,301,2081520
NCT of Delhi,301,637445
Gujarat,301,266297
Arunachal Pradesh,301,16836
Tripura,301,33366
Mizoram,301,4405
Andaman and Nicobar,301,5014
Nagaland,301,12191
Chandigarh,301,21352
Madhya Pradesh,301,258574
Sikkim,301,6126
Himachal Pradesh,301,58312
Telangana,301,297278
Andhra Pradesh,301,889077
Goa,301,54421
Manipur,301,29225
Karnataka,301,946860
Rajasthan,301,319270
Daman and Diu,301,3402
Chhattisgarh,301,310210
Bihar,301,261942
Mizoram,302,4407
Sikkim,302,6127
Jharkhand,302,119528
Arunachal Pradesh,302,16836
Manipur,302,29230
Punjab,302,177759
Maharashtra,302,2087632
Assam,302,217367
Gujarat,302,266563
Bihar,302,262009
Andaman and Nicobar,302,5014
West Bengal,302,573387
Madhya Pradesh,302,258871
Himachal Pradesh,302,58344
Dadra and Nagar Haveli,302,3402
Jammu and Kashmir,302,125715
Haryana,302,269498
Meghalaya,302,13951
Chandigarh,302,21371
Goa,302,54466
Nagaland,302,12191
Uttarakhand,302,97031
Chhattisgarh,302,310469
Telangana,302,297435
Daman and Diu,302,3402
Uttar Pradesh,302,602592
Tamil Nadu,302,847385
Lakshadweep,302,272
Andhra Pradesh,302,889156
Karnataka,302,947246
Rajasthan,302,319363
Puducherry,302,39540
NCT of Delhi,302,637603
Odisha,302,336513
Tripura,302,33392
Kerala,302,1025937
Madhya Pradesh,303,259128
Odisha,303,336578
Gujarat,303,266821
Jammu and Kashmir,303,125783
Kerala,303,1030587
Haryana,303,269609
Andaman and Nicobar,303,5014
Tripura,303,33393
Telangana,303,297598
Nagaland,303,12191
Goa,303,54523
Manipur,303,29233
Meghalaya,303,13952
Uttarakhand,303,97031
Dadra and Nagar Haveli,303,3402
Chhattisgarh,303,310732
NCT of Delhi,303,637755
Himachal Pradesh,303,58366
Bihar,303,262066
Arunachal Pradesh,303,16836
Sikkim,303,6128
Jharkhand,303,119565
Uttar Pradesh,303,602705
Tamil Nadu,303,847823
Karnataka,303,947736
Mizoram,303,4409
Andhra Pradesh,303,889210
West Bengal,303,573580
Chandigarh,303,21397
Punjab,303,178111
Rajasthan,303,319461
Daman and Diu,303,3402
Puducherry,303,39569
Assam,303,217383
Maharashtra,303,2093913
Lakshadweep,303,277
Uttarakhand,304,97031
Sikkim,304,6132
Bihar,304,262160
Nagaland,304,12192
Chhattisgarh,304,310885
Meghalaya,304,13952
Jammu and Kashmir,304,125867
Andaman and Nicobar,304,5014
Karnataka,304,948149
Mizoram,304,4409
Andhra Pradesh,304,889298
Madhya Pradesh,304,259427
Chandigarh,304,21425
Odisha,304,336636
Gujarat,304,267104
Maharashtra,304,2100884
Rajasthan,304,319543
Arunachal Pradesh,304,16836
Telangana,304,297712
Goa,304,54562
Uttar Pradesh,304,602785
West Bengal,304,573762
Kerala,304,1034657
Haryana,304,269730
Lakshadweep,304,280
Daman and Diu,304,3402
Assam,304,217392
Puducherry,304,39592
Punjab,304,178459
Manipur,304,29237
Tripura,304,33394
Dadra and Nagar Haveli,304,3402
Himachal Pradesh,304,58385
Jharkhand,304,119596
NCT of Delhi,304,637900
Tamil Nadu,304,848275
Tamil Nadu,305,848724
Sikkim,305,6132
Lakshadweep,305,295
Goa,305,54591
Andhra Pradesh,305,889339
Nagaland,305,12192
Uttarakhand,305,97031
Telangana,305,297861
Jharkhand,305,119637
Arunachal Pradesh,305,16836
Puducherry,305,39600
Odisha,305,336705
Bihar,305,262244
Rajasthan,305,319626
Punjab,305,178847
Assam,305,217406
Karnataka,305,948466
Mizoram,305,4410
NCT of Delhi,305,638028
Uttar Pradesh,305,602869
West Bengal,305,573910
Daman and Diu,305,3402
Tripura,305,33398
Jammu and Kashmir,305,125925
Chandigarh,305,21463
Manipur,305,29240
Gujarat,305,267419
Haryana,305,269836
Meghalaya,305,13954
Chhattisgarh,305,311159
Maharashtra,305,2106094
Dadra and Nagar Haveli,305,3402
Himachal Pradesh,305,58403
Madhya Pradesh,305,259721
Andaman and Nicobar,305,5015
Kerala,305,1036869
Dadra and Nagar Haveli,306,3402
Daman and Diu,306,3402
Jharkhand,306,119687
Manipur,306,29243
Assam,306,217427
Uttar Pradesh,306,602975
Karnataka,306,948849
Lakshadweep,306,316
Odisha,306,336767
Tamil Nadu,306,849166
Sikkim,306,6132
Mizoram,306,4413
Jammu and Kashmir,306,126019
Bihar,306,262303
Himachal Pradesh,306,58423
Punjab,306,179261
Rajasthan,306,319702
Madhya Pradesh,306,259969
Kerala,306,1040903
Uttarakhand,306,97031
Telangana,306,298057
Nagaland,306,12192
Chandigarh,306,21500
Andhra Pradesh,306,889409
Goa,306,54648
Tripura,306,33400
Chhattisgarh,306,311433
Meghalaya,306,13955
NCT of Delhi,306,638173
Andaman and Nicobar,306,5016
Arunachal Pradesh,306,16836
Haryana,306,269967
Puducherry,306,39628
West Bengal,306,574099
Gujarat,306,267767
Maharashtra,306,2112312
Bihar,307,262357
Tamil Nadu,307,849629
Karnataka,307,949183
Andhra Pradesh,307,889503
Telangana,307,298264
Tripura,307,33400
Madhya Pradesh,307,260313
Assam,307,217454
Daman and Diu,307,3404
West Bengal,307,574301
Goa,307,54700
Nagaland,307,12192
Odisha,307,336835
Kerala,307,1045009
Chandigarh,307,21541
Chhattisgarh,307,311680
NCT of Delhi,307,638373
Rajasthan,307,319801
Andaman and Nicobar,307,5016
Punjab,307,179819
Maharashtra,307,2121119
Dadra and Nagar Haveli,307,3404
Mizoram,307,4413
Puducherry,307,39656
Meghalaya,307,13958
Jammu and Kashmir,307,126093
Himachal Pradesh,307,58457
Manipur,307,29250
Uttar Pradesh,307,603103
Uttarakhand,307,97031
Sikkim,307,6132
Lakshadweep,307,322
Arunachal Pradesh,307,16836
Jharkhand,307,119719
Gujarat,307,268147
Haryana,307,270097
Puducherry,308,39677
Lakshadweep,308,331
Odisha,308,336924
Arunachal Pradesh,308,16836
Tamil Nadu,308,850096
Karnataka,308,949636
Chhattisgarh,308,311900
Nagaland,308,12198
Madhya Pradesh,308,260681
Goa,308,54771
Rajasthan,308,319929
Assam,308,217484
Dadra and Nagar Haveli,308,3405
Maharashtra,308,2129821
Himachal Pradesh,308,58499
Telangana,308,298453
Daman and Diu,308,3405
Sikkim,308,6133
West Bengal,308,574500
Haryana,308,270263
Gujarat,308,268571
Meghalaya,308,13961
NCT of Delhi,308,638593
Mizoram,308,4419
Bihar,308,262418
Andhra Pradesh,308,889585
Manipur,308,29253
Jammu and Kashmir,308,126201
Punjab,308,180382
Andaman and Nicobar,308,5016
Tripura,308,33407
Uttar Pradesh,308,603232
Chandigarh,308,21590
Uttarakhand,308,97031
Kerala,308,1048686
Jharkhand,308,119795
Kerala,309,1052357
Arunachal Pradesh,309,16836
Meghalaya,309,13961
Maharashtra,309,2138154
Karnataka,309,950207
Jharkhand,309,119863
Nagaland,309,12198
Rajasthan,309,320078
Madhya Pradesh,309,261013
Bihar,309,262464
Manipur,309,29260
Himachal Pradesh,309,58543
Jammu and Kashmir,309,126286
Telangana,309,298631
Dadra and Nagar Haveli,309,3406
Daman and Diu,309,3406
Sikkim,309,6135
Uttar Pradesh,309,603350
West Bengal,309,574716
Mizoram,309,4422
Gujarat,309,269031
Assam,309,217518
NCT of Delhi,309,638849
Haryana,309,270411
Lakshadweep,309,333
Tamil Nadu,309,850577
Andhra Pradesh,309,889681
Punjab,309,181004
Puducherry,309,39697
Tripura,309,33407
Chhattisgarh,309,312179
Odisha,309,337018
Uttarakhand,309,97031
Chandigarh,309,21659
Goa,309,54871
Andaman and Nicobar,309,5017
Lakshadweep,310,359
Himachal Pradesh,310,58598
Tamil Nadu,310,851063
Chandigarh,310,21719
Punjab,310,181597
Jammu and Kashmir,310,126383
Haryana,310,270610
Telangana,310,298807
Gujarat,310,269482
Daman and Diu,310,3406
Puducherry,310,39717
Goa,310,54932
Mizoram,310,4423
Sikkim,310,6137
Andhra Pradesh,310,889799
Uttar Pradesh,310,603427
West Bengal,310,574926
Dadra and Nagar Haveli,310,3406
Tripura,310,33417
Arunachal Pradesh,310,16836
Rajasthan,310,320180
Odisha,310,337104
Uttarakhand,310,97031
Madhya Pradesh,310,261403
Nagaland,310,12199
Andaman and Nicobar,310,5018
Kerala,310,1056149
Maharashtra,310,2146777
Meghalaya,310,13961
Manipur,310,29271
Karnataka,310,950730
Assam,310,217527
NCT of Delhi,310,639092
Bihar,310,262509
Chhattisgarh,310,312419
Jharkhand,310,119905
Meghalaya,311,13962
Karnataka,311,951251
Mizoram,311,4423
Haryana,311,270784
Dadra and Nagar Haveli,311,3406
Uttar Pradesh,311,603527
NCT of Delhi,311,639289
Arunachal Pradesh,311,16836
Nagaland,311,12200
Kerala,311,1059403
Daman and Diu,311,3406
Jharkhand,311,119949
Chhattisgarh,311,312560
Manipur,311,29273
Uttarakhand,311,97031
Andhra Pradesh,311,889916
West Bengal,311,575118
Lakshadweep,311,382
Odisha,311,337191
Rajasthan,311,320336
Maharashtra,311,2155070
Himachal Pradesh,311,58645
Telangana,311,298923
Bihar,311,262534
Madhya Pradesh,311,261766
Jammu and Kashmir,311,126441
Sikkim,311,6145
Assam,311,217537
Punjab,311,182176
Tripura,311,33417
Puducherry,311,39725
Andaman and Nicobar,311,5020
Chandigarh,311,21770
Goa,311,54986
Gujarat,311,269889
Tamil Nadu,311,851542
Arunachal Pradesh,312,16837
Jharkhand,312,119986
Chandigarh,312,21839
Nagaland,312,12200
Maharashtra,312,2161467
Uttarakhand,312,97031
Lakshadweep,312,397
Andhra Pradesh,312,889974
Rajasthan,312,320455
Kerala,312,1061341
Meghalaya,312,13963
Chhattisgarh,312,312816
Odisha,312,337277
Karnataka,312,951600
Madhya Pradesh,312,262102
Andaman and Nicobar,312,5020
Goa,312,55026
NCT of Delhi,312,639464
Punjab,312,182809
Tripura,312,33420
Tamil Nadu,312,852016
Haryana,312,270950
Gujarat,312,270316
Puducherry,312,39734
Bihar,312,262556
West Bengal,312,575316
Telangana,312,299086
Daman and Diu,312,3406
Dadra and Nagar Haveli,312,3406
Himachal Pradesh,312,58777
Uttar Pradesh,312,603608
Sikkim,312,6145
Mizoram,312,4426
Jammu and Kashmir,312,126504
Manipur,312,29274
Assam,312,217570
Andhra Pradesh,313,890080
Odisha,313,337351
Telangana,313,299254
Tripura,313,33420
Arunachal Pradesh,313,16838
Punjab,313,183538
Uttarakhand,313,97089
NCT of Delhi,313,639681
Uttar Pradesh,313,603711
Goa,313,55073
Chandigarh,313,21906
Puducherry,313,39763
Chhattisgarh,313,313032
Mizoram,313,4427
Gujarat,313,270770
Lakshadweep,313,407
Dadra and Nagar Haveli,313,3408
West Bengal,313,575487
Tamil Nadu,313,852478
Daman and Diu,313,3408
Himachal Pradesh,313,58800
Jharkhand,313,120037
Rajasthan,313,320557
Nagaland,313,12200
Kerala,313,1064279
Haryana,313,271125
Bihar,313,262597
Meghalaya,313,13966
Maharashtra,313,2169330
Andaman and Nicobar,313,5020
Karnataka,313,952037
Sikkim,313,6147
Madhya Pradesh,313,262433
Jammu and Kashmir,313,126589
Assam,313,217585
Manipur,313,29282
Haryana,314,271365
Lakshadweep,314,414
Puducherry,314,39777
Arunachal Pradesh,314,16838
Bihar,314,262628
Goa,314,55143
Punjab,314,184310
Kerala,314,1067044
Andaman and Nicobar,314,5022
Andhra Pradesh,314,890215
Jammu and Kashmir,314,126693
Uttar Pradesh,314,603788
Manipur,314,29283
Uttarakhand,314,97134
Sikkim,314,6150
Rajasthan,314,320772
Tamil Nadu,314,852967
Maharashtra,314,2179185
Assam,314,217593
Himachal Pradesh,314,58877
Karnataka,314,952565
Madhya Pradesh,314,262850
Jharkhand,314,120068
Meghalaya,314,13966
Daman and Diu,314,3408
Tripura,314,33422
West Bengal,314,575712
Nagaland,314,12205
Chandigarh,314,21962
Odisha,314,337448
Gujarat,314,271245
NCT of Delhi,314,639921
Telangana,314,299406
Mizoram,314,4427
Dadra and Nagar Haveli,314,3408
Chhattisgarh,314,313299
Assam,315,217613
Jammu and Kashmir,315,126772
Puducherry,315,39794
Manipur,315,29283
Himachal Pradesh,315,58942
Dadra and Nagar Haveli,315,3408
Mizoram,315,4428
Uttar Pradesh,315,603907
Daman and Diu,315,3408
Andaman and Nicobar,315,5024
Nagaland,315,12210
West Bengal,315,575921
Gujarat,315,271725
Sikkim,315,6154
Tamil Nadu,315,853449
Kerala,315,1069660
Tripura,315,33424
Lakshadweep,315,425
NCT of Delhi,315,640182
Chhattisgarh,315,313534
Goa,315,55212
Chandigarh,315,22040
Odisha,315,337529
Jharkhand,315,120129
Punjab,315,185381
Haryana,315,271659
Telangana,315,299572
Uttarakhand,315,97234
Meghalaya,315,13966
Madhya Pradesh,315,263290
Karnataka,315,953136
Andhra Pradesh,315,890317
Bihar,315,262668
Maharashtra,315,2188183
Rajasthan,315,320928
Arunachal Pradesh,315,16838
Telangana,316,299742
Maharashtra,316,2198399
Uttarakhand,316,97285
Jharkhand,316,120173
Chandigarh,316,22116
Jammu and Kashmir,316,126853
Haryana,316,271892
Nagaland,316,12210
Uttar Pradesh,316,604034
Himachal Pradesh,316,59014
Assam,316,217642
Tripura,316,33424
Dadra and Nagar Haveli,316,3408
Sikkim,316,6157
Gujarat,316,272240
Mizoram,316,4428
West Bengal,316,576176
Madhya Pradesh,316,263747
Daman and Diu,316,3408
Goa,316,55291
Tamil Nadu,316,853992
Punjab,316,186189
Meghalaya,316,13968
Odisha,316,337620
Rajasthan,316,321123
Kerala,316,1072436
Chhattisgarh,316,313808
Andaman and Nicobar,316,5024
Manipur,316,29286
Lakshadweep,316,468
Arunachal Pradesh,316,16839
Andhra Pradesh,316,890441
NCT of Delhi,316,640494
Puducherry,316,39824
Bihar,316,262706
Karnataka,316,953813
Goa,317,55361
Maharashtra,317,2208586
Puducherry,317,39843
Tripura,317,33424
Bihar,317,262728
Jharkhand,317,120217
Andhra Pradesh,317,890556
Chandigarh,317,22238
Madhya Pradesh,317,264214
Tamil Nadu,317,854554
Andaman and Nicobar,317,5024
Rajasthan,317,321356
Karnataka,317,954393
Punjab,317,187348
Dadra and Nagar Haveli,317,3409
Uttarakhand,317,97363
Haryana,317,272215
Arunachal Pradesh,317,16839
Lakshadweep,317,473
Chhattisgarh,317,314098
Odisha,317,337674
Meghalaya,317,13970
Himachal Pradesh,317,59059
Jammu and Kashmir,317,126932
NCT of Delhi,317,640815
Nagaland,317,12211
West Bengal,317,576435
Daman and Diu,317,3409
Telangana,317,299900
Mizoram,317,4428
Gujarat,317,272811
Sikkim,317,6167
Uttar Pradesh,317,604164
Assam,317,217649
Manipur,317,29288
Kerala,317,1075227
NCT of Delhi,318,641101
Dadra and Nagar Haveli,318,3416
Andhra Pradesh,318,890692
Madhya Pradesh,318,264643
Maharashtra,318,2219727
Tamil Nadu,318,855121
Jharkhand,318,120259
Puducherry,318,39868
Lakshadweep,318,486
Sikkim,318,6174
Daman and Diu,318,3416
Assam,318,217668
West Bengal,318,576623
Himachal Pradesh,318,59118
Rajasthan,318,321532
Nagaland,318,12217
Meghalaya,318,13972
Odisha,318,337744
Goa,318,55409
Chhattisgarh,318,314320
Tripura,318,33424
Mizoram,318,4428
Arunachal Pradesh,318,16839
Manipur,318,29291
Gujarat,318,273386
Jammu and Kashmir,318,127044
Punjab,318,188391
Chandigarh,318,22318
Uttar Pradesh,318,604279
Bihar,318,262758
Haryana,318,272520
Andaman and Nicobar,318,5024
Karnataka,318,955015
Uttarakhand,318,97422
Kerala,318,1077327
Telangana,318,300011
Madhya Pradesh,319,265070
Sikkim,319,6174
Andhra Pradesh,319,890766
Dadra and Nagar Haveli,319,3421
Assam,319,217682
Andaman and Nicobar,319,5026
Karnataka,319,955451
Rajasthan,319,321711
Goa,319,55463
Tripura,319,33424
Bihar,319,262779
Punjab,319,189620
Himachal Pradesh,319,59197
Jharkhand,319,120312
West Bengal,319,576838
Mizoram,319,4432
Chandigarh,319,22397
Telangana,319,300153
Uttarakhand,319,97480
Haryana,319,272751
Uttar Pradesh,319,604380
NCT of Delhi,319,641340
Kerala,319,1078739
Manipur,319,29296
Arunachal Pradesh,319,16839
Gujarat,319,273941
Chhattisgarh,319,314640
Lakshadweep,319,494
Puducherry,319,39882
Meghalaya,319,13973
Nagaland,319,12217
Maharashtra,319,2228471
Jammu and Kashmir,319,127114
Daman and Diu,319,3421
Tamil Nadu,319,855677
Odisha,319,337803
Goa,320,55538
West Bengal,320,577026
Maharashtra,320,2238398
Chandigarh,320,22502
Andhra Pradesh,320,890884
Tamil Nadu,320,856246
Dadra and Nagar Haveli,320,3423
Himachal Pradesh,320,59239
Andaman and Nicobar,320,5028
Madhya Pradesh,320,265527
Nagaland,320,12217
Meghalaya,320,13977
Jammu and Kashmir,320,127191
Odisha,320,337860
Chhattisgarh,320,315030
Karnataka,320,956041
Telangana,320,300342
Punjab,320,190647
Puducherry,320,39908
Bihar,320,262820
Haryana,320,273087
Kerala,320,1081055
Lakshadweep,320,509
Daman and Diu,320,3423
Assam,320,217704
Arunachal Pradesh,320,16839
Uttar Pradesh,320,604527
Manipur,320,29298
Uttarakhand,320,97529
Jharkhand,320,120374
Tripura,320,33425
Rajasthan,320,321890
NCT of Delhi,320,641660
Sikkim,320,6175
Gujarat,320,274522
Mizoram,320,4434
